name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Mike Minor,Minor, Mike,501985,CIN,L,79.2,182,1750,CUKC,Curveball,55.0,7.1
 Mark Leiter Jr.,Leiter Jr., Mark,643410,CHC,R,73.2,181,1086,CUKC,Curveball,68.6,7.6
 Kyle Gibson,Gibson, Kyle,502043,PHI,R,79.0,181,2739,CUKC,Curveball,52.6,7.3
 Zack Thompson,Thompson, Zack,668868,STL,L,75.0,180,575,CUKC,Curveball,67.4,7.8
 Walker Buehler,Buehler, Walker,621111,LAD,R,79.2,176,1046,CUKC,Curveball,57.7,11.5
 Lance Lynn,Lynn, Lance,458681,CWS,R,82.0,175,2022,CUKC,Curveball,42.2,10.4
 Yimi Garcia,Garcia, Yimi,554340,TOR,R,82.4,174,1039,CUKC,Curveball,42.8,11.4
 Joe Ryan,Ryan, Joe,657746,MIN,R,74.9,171,2391,CUKC,Curveball,56.4,10.6
 Clarke Schmidt,Schmidt, Clarke,657376,NYY,R,83.5,169,930,CUKC,Curveball,48.8,15.0
 Steven Matz,Matz, Steven,571927,STL,L,78.0,168,849,CUKC,Curveball,54.6,14.9
 Carlos Rodón,Rodón, Carlos,607074,SF,L,79.8,166,2985,CUKC,Curveball,55.3,6.4
 Zach Logue,Logue, Zach,656657,OAK,L,77.5,161,1022,CUKC,Curveball,42.4,10.4
 Kyle Hendricks,Hendricks, Kyle,543294,CHC,R,72.7,160,1347,CUKC,Curveball,67.5,13.7
 Ryan Feltner,Feltner, Ryan,663372,COL,R,77.9,159,1675,CUKC,Curveball,54.6,8.2
 Humberto Castellanos,Castellanos, Humberto,528748,AZ,R,76.5,159,748,CUKC,Curveball,54.0,11.7
 Austin Pruitt,Pruitt, Austin,643493,OAK,R,80.9,157,809,CUKC,Curveball,52.4,8.0
 Spenser Watkins,Watkins, Spenser,657093,BAL,R,76.8,156,1642,CUKC,Curveball,60.7,5.7
 Jonathan Loáisiga,Loáisiga, Jonathan,642528,NYY,R,86.9,154,761,CUKC,Curveball,32.8,9.3
 Michael Rucker,Rucker, Michael,621074,CHC,R,80.6,151,914,CUKC,Curveball,52.0,15.6
 Matthew Liberatore,Liberatore, Matthew,669461,STL,L,74.3,151,650,CUKC,Curveball,67.2,11.6
 Braxton Garrett,Garrett, Braxton,666129,MIA,L,78.7,149,1436,CUKC,Curveball,53.2,11.4
 Bruce Zimmermann,Zimmermann, Bruce,669145,BAL,L,81.0,146,1130,CUKC,Curveball,48.9,1.5
 Michael Wacha,Wacha, Michael,608379,BOS,R,74.7,145,1949,CUKC,Curveball,58.8,10.3
 Jared Koenig,Koenig, Jared,657649,OAK,L,77.6,144,653,CUKC,Curveball,54.0,10.0
 Cole Sands,Sands, Cole,663485,MIN,R,78.6,138,603,CUKC,Curveball,48.8,18.1
 Lucas Luetge,Luetge, Lucas,476595,NYY,L,73.5,138,971,CUKC,Curveball,66.4,10.3
 Trevor Williams,Williams, Trevor,592866,NYM,R,78.6,137,1407,CUKC,Curveball,42.0,11.0
 Adam Oller,Oller, Adam,670124,OAK,R,80.5,137,1294,CUKC,Curveball,49.5,5.0
