name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Matt Strahm,94.2,15.1,13.5,94.0,19.6,17.5,0.0,0.0,0.0,82.7,40.6,6.2,88.6,27.9,2.4,88.2,27.8,18.4,2
 Adam Wainwright,88.0,20.1,1.4,88.6,22.7,13.0,84.3,32.1,6.3,72.8,67.5,16.1,0.0,0.0,0.0,82.2,32.4,14.3,6
 Scott Barlow,93.6,19.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,78.6,53.4,16.2,84.1,39.4,8.1,0.0,0.0,0.0,8
 José Leclerc,96.5,11.4,4.0,0.0,0.0,0.0,89.2,30.8,5.1,0.0,0.0,0.0,83.3,37.8,9.4,89.7,23.0,13.5,1
 Ryan Tepera,92.6,15.1,7.2,92.9,19.9,16.2,0.0,0.0,0.0,0.0,0.0,0.0,85.2,34.0,5.8,85.8,32.2,11.1,3
 Elvin Rodriguez,93.1,13.4,8.9,0.0,0.0,0.0,0.0,0.0,0.0,78.5,50.9,8.9,82.9,39.9,2.9,86.6,25.5,14.9,4
 Austin Pruitt,91.4,17.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,80.9,52.4,8.0,87.5,32.9,5.3,86.2,29.2,13.9,4
 Sean Newcomb,94.3,14.0,5.7,0.0,0.0,0.0,88.3,30.4,3.5,78.9,59.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0
 Mike Baumann,95.8,11.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,84.0,52.9,4.5,91.5,25.5,2.1,0.0,0.0,0.0,8
 Trent Thornton,93.8,13.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,79.7,59.4,8.4,82.2,40.8,14.7,0.0,0.0,0.0,8
 Art Warren,93.5,15.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5,36.4,8.2,0.0,0.0,0.0,5
 Tyler Duffey,92.3,16.4,4.4,92.4,24.5,14.2,0.0,0.0,0.0,81.6,53.0,7.2,83.7,41.3,11.6,0.0,0.0,0.0,9
 Dinelson Lamet,95.4,15.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.3,32.7,0.3,0.0,0.0,0.0,5
 Joel Payamps,94.8,14.7,9.0,94.3,21.8,15.7,0.0,0.0,0.0,0.0,0.0,0.0,82.2,44.4,10.3,88.9,30.8,16.6,3
 Matt Swarmer,90.5,18.1,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.1,37.5,7.3,0.0,0.0,0.0,5
 Andrew Chafin,91.6,17.3,9.6,91.6,20.6,15.1,0.0,0.0,0.0,0.0,0.0,0.0,82.9,40.7,0.2,0.0,0.0,0.0,7
 Tyler Beede,95.8,16.8,11.0,95.6,20.8,15.7,0.0,0.0,0.0,79.1,56.4,8.7,88.0,32.7,1.5,84.8,34.3,15.6,2
 Génesis Cabrera,96.1,11.8,7.5,95.9,15.6,14.6,0.0,0.0,0.0,79.3,53.8,9.1,0.0,0.0,0.0,90.2,23.2,14.9,6
 David Price,92.1,20.2,10.6,92.4,22.2,15.1,87.9,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9,33.2,14.6,3
