,name,pitcher_id,pitch_hand,avg_speed_FF,pitch_type_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,pitch_type_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,pitch_type_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,pitch_type_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,pitch_type_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,pitch_type_CH,vertical_break_CH,horizonal_break_CH
121, Félix Bautista,642585,R,99.1,FF,8.2,7.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,85.2,SL,39.1,5.3,0.0,0,0.0,0.0
122, Will Vest,676684,R,95.1,FF,14.8,9.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.4,SL,38.6,9.0,86.8,CH,32.6,15.5
123, Alex Vesia,681911,L,94.1,FF,11.4,5.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,85.0,SL,34.5,7.3,0.0,0,0.0,0.0
124, Brad Boxberger,502202,R,92.7,FF,14.5,6.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,87.3,SL,29.2,7.0,81.2,CH,35.9,11.2
125, Joe Jiménez,641729,R,95.7,FF,11.6,10.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,84.8,SL,36.5,2.7,90.7,CH,24.3,16.3
126, Beau Brieske,689225,R,94.3,FF,13.3,7.3,93.6,SIFT,17.1,13.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.2,SL,29.9,0.1,82.0,CH,28.0,15.4
127, Ryan Feltner,663372,R,94.5,FF,17.0,6.6,93.5,SIFT,25.7,12.1,0.0,0,0.0,0.0,77.9,CUKC,54.6,8.2,84.4,SL,36.2,5.8,83.8,CH,33.0,5.3
128, José Quijada,650671,L,94.5,FF,15.2,6.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.9,CH,31.3,16.3
129, Lucas Gilbreath,656458,L,93.8,FF,15.1,0.6,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,82.7,SL,42.7,3.8,0.0,0,0.0,0.0
130, Emilio Pagán,641941,R,95.6,FF,11.6,4.9,0.0,0,0.0,0.0,85.8,FC,35.1,4.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
